y,U_ML_0,U_ML_1,U_ML_2
0,0,0,0
1.37955e-05,1.50284,0.000102367,1.16769e-22
2.92331e-05,3.13478,0.000535243,-2.22159e-20
4.65113e-05,4.88212,0.00112554,6.20389e-23
6.58528e-05,6.53744,0.00147616,-1.50051e-20
8.75077e-05,7.91549,0.00120661,1.47233e-20
0.000111757,9.02799,0.000114487,1.46119e-20
0.000138915,9.95683,-0.00170989,-4.76522e-20
0.000169336,10.7545,-0.00423019,1.25763e-20
0.000203417,11.4584,-0.00746232,4.90143e-20
0.000241604,12.096,-0.011425,-2.24478e-20
0.000284398,12.686,-0.0161683,5.19685e-21
0.000332361,13.2358,-0.0218163,9.44931e-20
0.000386126,13.7397,-0.0285364,-1.84031e-20
0.000446401,14.1864,-0.0364837,-5.87716e-20
0.000513985,14.5722,-0.0457817,5.20201e-20
0.000589773,14.9053,-0.0565437,8.23151e-21
0.000674771,15.2005,-0.0689149,-2.58802e-20
0.000770111,15.472,-0.0830685,-1.4188e-20
0.000877061,15.7308,-0.0991831,1.47249e-20
0.000997051,15.9851,-0.117463,-1.01624e-20
0.00113168,16.2409,-0.138149,-2.88699e-20
0.00128277,16.5034,-0.161514,1.4877e-21
0.00145232,16.7776,-0.187857,-5.41394e-20
0.00164263,17.0683,-0.217475,4.4798e-20
0.00185625,17.381,-0.250667,2.74083e-20
0.00209606,17.7224,-0.287792,-2.26186e-20
0.0023653,18.1002,-0.329224,7.02566e-20
0.0026676,18.5233,-0.37527,-6.90401e-22
0.00300706,19.0032,-0.426211,-4.86761e-20
0.00338828,19.555,-0.482253,0
0.00381642,20.1962,-0.543317,1.25039e-19
0.0042973,20.9472,-0.609147,-6.75262e-21
0.00483747,21.8318,-0.679347,-2.46077e-19
0.00544427,22.8337,-0.750139,-1.66141e-19
0.00602098,23.8904,-0.815756,7.23216e-22
0.00660124,24.985,-0.874638,6.16247e-20
0.00718535,26.135,-0.927071,2.25648e-19
0.00777365,27.3383,-0.972353,-7.1132e-21
0.00836651,28.5807,-1.01011,-2.00079e-19
0.00896431,29.8381,-1.0406,1.20419e-19
0.00956749,31.0835,-1.06468,9.74385e-20
0.0101765,32.2886,-1.0835,-2.63638e-20
0.0107919,33.4215,-1.09824,4.29174e-22
0.0114142,34.453,-1.11005,2.75635e-20
0.012044,35.3687,-1.12,-3.57391e-19
0.0126819,36.1707,-1.12897,6.20495e-21
0.0133287,36.8653,-1.13754,9.26954e-19
0.0139851,37.4517,-1.14579,5.55785e-19
0.0145992,37.9345,-1.15395,-5.59196e-19
0.0152409,38.3438,-1.16249,-5.51507e-19
0.0159119,38.7085,-1.1715,4.59288e-19
0.016614,39.04,-1.18063,4.48786e-19
0.0173491,39.3469,-1.18962,-4.48272e-19
0.018119,39.6342,-1.19823,-1.31457e-18
0.0189258,39.9049,-1.20627,-4.60823e-19
0.0197718,40.1601,-1.21357,4.2667e-19
0.0206593,40.4008,-1.22,7.87256e-19
0.0215907,40.6278,-1.22545,1.53917e-18
0.0225687,40.8413,-1.2298,-6.42527e-19
0.023596,41.0411,-1.23318,-1.39618e-18
0.0246755,41.228,-1.2358,2.58132e-20
0.0259626,41.4109,-1.23703,2.64006e-19
0.0273361,41.5878,-1.23604,7.60505e-19
0.0288025,41.748,-1.23278,-1.70305e-19
0.030369,41.8899,-1.22738,-6.72371e-19
0.0320431,42.0136,-1.21971,3.92987e-19
0.033833,42.1201,-1.20967,-8.11932e-20
0.0357475,42.2113,-1.19723,-2.18082e-19
0.0377646,42.2895,-1.18233,2.9216e-19
0.0399122,42.3573,-1.16484,-1.93891e-19
0.0422027,42.4176,-1.14456,-1.16159e-19
0.0446494,42.4726,-1.12124,1.33301e-19
0.0472662,42.5241,-1.0946,-2.02714e-20
0.0500679,42.5733,-1.06434,1.10748e-19
0.05307,42.6207,-1.03016,7.83301e-20
0.0562894,42.6664,-0.991771,-6.05027e-20
0.0597436,42.7107,-0.94898,-1.43442e-20
0.0634517,42.7543,-0.901488,-1.33762e-20
0.0674339,42.797,-0.849045,7.62875e-21
0.0717118,42.8365,-0.791017,8.89859e-21
0.0763087,42.8676,-0.727433,4.14105e-22
0.0812495,42.8723,-0.655588,2.15505e-20
0.0865609,42.7935,-0.57526,2.10674e-20
0.0922714,42.4551,-0.488124,-5.51694e-20
0.0960782,41.7437,-0.406483,-2.94792e-20
0.0992295,40.6967,-0.337573,9.4927e-22
0.101838,39.5027,-0.282321,1.37439e-20
0.103998,38.3597,-0.239022,2.03967e-20
0.105786,37.3357,-0.204405,-1.71155e-20
0.107266,36.4161,-0.175805,-8.23818e-21
0.108492,35.5711,-0.151787,3.09081e-20
0.109506,34.7748,-0.131483,3.45148e-20
0.110346,34.0053,-0.114255,1.18561e-20
0.111042,33.248,-0.0996152,-1.76923e-21
0.111618,32.4944,-0.0871563,-7.76504e-21
0.112095,31.7329,-0.0764198,1.00437e-20
0.11249,30.943,-0.0669299,-1.63194e-20
0.112817,30.1025,-0.0583471,-4.75034e-21
0.113087,29.1917,-0.0504991,3.23868e-21
0.113312,28.1877,-0.0433027,-7.96978e-21
0.113497,27.0551,-0.0366932,1.52273e-21
0.113651,25.7433,-0.0305833,-2.67352e-22
0.113779,24.2038,-0.0249009,1.2227e-20
0.113884,22.4317,-0.019664,-5.57344e-21
0.113971,20.4762,-0.014973,-1.53795e-20
0.114044,18.3912,-0.0109308,-1.09661e-21
0.114104,16.1945,-0.00759191,1.1433e-21
0.114154,13.8751,-0.00497023,8.20444e-21
0.114195,11.4117,-0.00304417,3.76571e-22
0.114229,8.78543,-0.00173288,-4.19502e-21
0.114257,5.97856,-0.00086367,-1.77027e-21
0.114281,3.03493,-0.000282648,1.33824e-21
0.1143,0,0,0
